Page,Job_title,Company,Location,Search_eng,Term,URL,Words_of_concern,New_job
0,Accounts & Admin Assistant,3 Keys Global,CBD & Inner Suburbs,SEEK,parttime business analytics,https://www.seek.com.au//job/35539803?type=standout&userqueryid=5e38f024a307de6c3d79525286d616fa-5122914,experi & year,*new!
3,DATA WAREHOUSE DESIGNER,AA Appointments,Brisbane QLD,Indeed,business intelligence,https://au.indeed.com//rc/clk?jk=261ba99ece61f1d8&fccid=67cdf42ae8776002,graduat & visa & experi & year,*new!
3,REPORTING ANALYST – 12 MONTH CONTRACT,AA Appointments Brisbane,,SEEK,business intelligence,https://www.seek.com.au//job/35340132?type=standard&userqueryid=badab31c39214623abb729977da0ff47-5056525,experi,*new!
2,DATA WAREHOUSE DESIGNER,AA Appointments Brisbane,CBD & Inner Suburbs,SEEK,business intelligence,https://www.seek.com.au//job/35409951?type=standard&userqueryid=badab31c39214623abb729977da0ff47-5056060,experi,*new!
1,Service Sales Engineer,ABB Australia Pty Ltd,CBD & Inner Suburbs,SEEK,business analytics,https://www.seek.com.au//job/35474859?type=standout&userqueryid=cf5c427a94a53b5faad7ea3aace0f2c1-5038551,minimum & experi & year,*new!
3,QUALITY OFFICER,ACE,CBD & Inner Suburbs,SEEK,data analyst,https://www.seek.com.au//job/35344077?type=standard&userqueryid=20ba340a05071ad6b7cd067a43c7c964-4973646,must & experi & year,
2,Grid Systems Engineer,AEMO,"Brisbane, Queensland",Neuvoo,software engineering,https://au.neuvoo.com/job.php?id=x9jq7k9bse&lang=en&k=software+engineering,*No found,*new!
1,Commercial Analyst,AEMO,"Brisbane, Queensland",Neuvoo,data analyst,https://au.neuvoo.com/job.php?id=pswtbjst2b&lang=en&k=data+analyst,*No found,*new!
4,Operational Forecasting Analyst,AEMO,"Brisbane, Queensland",Neuvoo,data analyst,https://au.neuvoo.com/job.php?id=jvd7jqhpia&lang=en&k=data+analyst,*No found,*new!
3,Landscape Architect,AILA,Queensland,Neuvoo,developer,https://au.neuvoo.com/job.php?id=m2d7nqebbr&lang=en&k=developer,*No found,
2,Aircraft Structures Design Engineer,AIRBUS,"Brisbane, Queensland",Neuvoo,junior software engineering,https://au.neuvoo.com/job.php?id=x0anvk74ct&lang=en&k=junior+software+engineering,*No found,
