Page,Job_title,Company,Location,Search_eng,Term,URL
0,Accounts & Admin Assistant,3 Keys Global,CBD & Inner Suburbs,SEEK,junior business analytics,https://www.seek.com.au//job/35539803?type=standout&userqueryid=984aa7f7cc9cdb05fd498c7d61a48523-8996864
3,DATA WAREHOUSE DESIGNER,AA Appointments,Brisbane QLD,Indeed,business intelligence,https://au.indeed.com//rc/clk?jk=261ba99ece61f1d8&fccid=67cdf42ae8776002&vjs=3
3,REPORTING ANALYST – 12 MONTH CONTRACT,AA Appointments Brisbane,,SEEK,business intelligence,https://www.seek.com.au//job/35340132?type=standard&userqueryid=badab31c39214623abb729977da0ff47-8778062
3,DATA WAREHOUSE DESIGNER,AA Appointments Brisbane,CBD & Inner Suburbs,SEEK,business intelligence,https://www.seek.com.au//job/35409951?type=standard&userqueryid=badab31c39214623abb729977da0ff47-8778062
1,Service Sales Engineer,ABB Australia Pty Ltd,CBD & Inner Suburbs,SEEK,business analytics,https://www.seek.com.au//job/35474859?type=standout&userqueryid=cf5c427a94a53b5faad7ea3aace0f2c1-8760048
3,QUALITY OFFICER,ACE,CBD & Inner Suburbs,SEEK,data analyst,https://www.seek.com.au//job/35344077?type=standard&userqueryid=20ba340a05071ad6b7cd067a43c7c964-8692864
2,Operational Forecasting Analyst,AEMO,"Brisbane, Queensland",Neuvoo,data science,https://au.neuvoo.com/job.php?id=jvd7jqhpia&lang=en&k=data+science
2,Commercial Analyst,AEMO,"Brisbane, Queensland",Neuvoo,data analyst,https://au.neuvoo.com/job.php?id=pswtbjst2b&lang=en&k=data+analyst
5,Grid Systems Engineer,AEMO,"Brisbane, Queensland",Neuvoo,software engineering,https://au.neuvoo.com/job.php?id=x9jq7k9bse&lang=en&k=software+engineering
4,Landscape Architect,AILA,Queensland,Neuvoo,developer,https://au.neuvoo.com/job.php?id=m2d7nqebbr&lang=en&k=developer
2,Aircraft Structures Design Engineer,AIRBUS,"Brisbane, Queensland",Neuvoo,junior software engineering,https://au.neuvoo.com/job.php?id=x0anvk74ct&lang=en&k=junior+software+engineering
2,Full Stack Developer,ALS Limited,"Brisbane, Queensland",Neuvoo,developer,https://au.neuvoo.com/job.php?id=49ihv30xty&lang=en&k=developer
3,Mining Engineer - Open PitPrincipal Mining Engineer - Open Pit,AMC Consultants Pty Ltd.,"Brisbane, Queensland",Neuvoo,software engineering,https://au.neuvoo.com/job.php?id=gywzaa6xtx&lang=en&k=software+engineering
3,Civil Pipeline Lead,APA Group,"Spring Hill, Queensland",Neuvoo,software engineering,https://au.neuvoo.com/job.php?id=j35zmex9wn&lang=en&k=software+engineering
0,Software Engineer x2,APNIC,CBD & Inner Suburbs,SEEK,software engineering,https://www.seek.com.au//job/35565595?type=standout&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-8614061
5,Microsoft Exchange Engineer / Admin,ASG Group Ltd,,SEEK,software engineering,https://www.seek.com.au//job/35462346?type=standard&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-8616550
5,Multiple Automation Tester & Performance Tester roles !,ASG Group Ltd,CBD & Inner Suburbs,SEEK,developer,https://www.seek.com.au//job/35360838?type=standard&userqueryid=e907361bbd2f1cd85fa93bb4a24fb26d-8651147
1,Java Developer,ASG Group Ltd,,SEEK,developer,https://www.seek.com.au//job/35570852?type=standard&userqueryid=e907361bbd2f1cd85fa93bb4a24fb26d-8649067
3,Lawyer,ASIC,"Brisbane, Queensland",Neuvoo,data analyst,https://au.neuvoo.com/job.php?id=kg4gn9cyx8&lang=en&k=data+analyst
