Page,Job_title,Company,Location,Search_eng,Term,URL,New_job
0,Accounts & Admin Assistant,3 Keys Global,CBD & Inner Suburbs,SEEK,junior business analytics,https://www.seek.com.au//job/35539803?type=standout&userqueryid=984aa7f7cc9cdb05fd498c7d61a48523-5971008,
3,DATA WAREHOUSE DESIGNER,AA Appointments,Brisbane QLD,Indeed,business intelligence,https://au.indeed.com//rc/clk?jk=261ba99ece61f1d8&fccid=67cdf42ae8776002,
3,QUALITY OFFICER,ACE,CBD & Inner Suburbs,SEEK,data analyst,https://www.seek.com.au//job/35344077?type=standard&userqueryid=20ba340a05071ad6b7cd067a43c7c964-5683579,
3,Grid Systems Engineer,AEMO,"Brisbane, Queensland",Neuvoo,software engineering,https://au.neuvoo.com/job.php?id=x9jq7k9bse&lang=en&k=software+engineering,
0,Operational Forecasting Analyst,AEMO,"Brisbane, Queensland",Neuvoo,data science,https://au.neuvoo.com/job.php?id=jvd7jqhpia&lang=en&k=data+science,
2,Commercial Analyst,AEMO,"Brisbane, Queensland",Neuvoo,data analyst,https://au.neuvoo.com/job.php?id=pswtbjst2b&lang=en&k=data+analyst,
3,Landscape Architect,AILA,Queensland,Neuvoo,developer,https://au.neuvoo.com/job.php?id=m2d7nqebbr&lang=en&k=developer,
2,Aircraft Structures Design Engineer,AIRBUS,"Brisbane, Queensland",Neuvoo,junior software engineering,https://au.neuvoo.com/job.php?id=x0anvk74ct&lang=en&k=junior+software+engineering,
2,Full Stack Developer,ALS Limited,"Brisbane, Queensland",Neuvoo,developer,https://au.neuvoo.com/job.php?id=49ihv30xty&lang=en&k=developer,
3,Mining Engineer - Open PitPrincipal Mining Engineer - Open Pit,AMC Consultants Pty Ltd.,"Brisbane, Queensland",Neuvoo,software engineering,https://au.neuvoo.com/job.php?id=gywzaa6xtx&lang=en&k=software+engineering,
3,Civil Pipeline Lead,APA Group,"Spring Hill, Queensland",Neuvoo,software engineering,https://au.neuvoo.com/job.php?id=j35zmex9wn&lang=en&k=software+engineering,
0,Front End Web Developer,Accenture,Brisbane QLD,Indeed,developer,https://au.indeed.com//rc/clk?jk=92b01bcede7f9f61&fccid=a4e4e2eaf26690c9&vjs=3,
0,GRADUATE ENGINEER (Acoustics),Acworth Recruitment,Southern Suburbs & Logan,SEEK,graduate data science,https://www.seek.com.au//job/35552423?type=standout&userqueryid=ca8c5b1ba8c82d524125fd1ab7b3db2d-5852411,
1,Ordering Administration Support Officer (Wholesale Furniture Supplier),Acworth Recruitment,CBD & Inner Suburbs,SEEK,junior business analytics,https://www.seek.com.au//job/35363291?type=standout&userqueryid=984aa7f7cc9cdb05fd498c7d61a48523-5971677,
5,Automation Developer,Adaps,Brisbane QLD,Indeed,python,https://au.indeed.com//rc/clk?jk=9c2b26c33f4d4904&fccid=ad7d1489eb2ecef6,
5,Project Engineer,Adelaide Brighton Ltd,"Brisbane, Queensland",Neuvoo,software engineering,https://au.neuvoo.com/job.php?id=xn4ctg66uz&lang=en&k=software+engineering,
1,ARH Software Engineer,Airbus Group Australia Pacific,Brisbane Airport QLD,Indeed,software engineering,https://au.indeed.com//rc/clk?jk=495ed81862643920&fccid=bc2d8021313233ce,
0,ARH Software Engineer,Airbus Groups,"Brisbane Airport, Queensland",Neuvoo,software engineering,https://au.neuvoo.com/job.php?id=d6kvdjuwns&lang=en&k=software+engineering,
1,Aircraft Structures Design Engineer,Airbus Groups,"Brisbane Airport, Queensland",Neuvoo,junior software engineering,https://au.neuvoo.com/job.php?id=dgbmxyp85v&lang=en&k=junior+software+engineering,
0,Network Engineer - Team Leaders,Ajilon,,SEEK,junior data science,https://www.seek.com.au//job/35553172?type=standout&userqueryid=a6ee949de1ce8beb421a9cf379c1e6bd-5926643,
1,Business and Data Analyst,Ajilon,CBD & Inner Suburbs,SEEK,data analyst,https://www.seek.com.au//job/35495588?type=standout&userqueryid=20ba340a05071ad6b7cd067a43c7c964-5682532,
2,Trade Qualified Boilermaker,All Trades Queensland,"Brisbane, Queensland",Neuvoo,developer,https://au.neuvoo.com/job.php?id=w2032ceptr&lang=en&k=developer,
3,Quantity Surveyor,Altus Group,"Brisbane, Queensland",Neuvoo,business analytics,https://au.neuvoo.com/job.php?id=r9ur339w63&lang=en&k=business+analytics,
2,Integration/DevOps,Ambition,Brisbane Central Business District QLD,Indeed,python,https://au.indeed.com//rc/clk?jk=9bbe167a78fdb418&fccid=c9cd3dc1c74035d6&vjs=3,
3,Python Developer- Brisbane CBD,Ambition,Brisbane Central Business District QLD,Indeed,developer,https://au.indeed.com//rc/clk?jk=20d71244bb795042&fccid=c9cd3dc1c74035d6,
5,Front End Developer,Ambition,"Brisbane, Queensland",Neuvoo,business analytics,https://au.neuvoo.com/job.php?id=riihpnbbz9&lang=en&k=business+analytics,
3,SOFTWARE ENGINEER,Ansaldo,Eagle Farm QLD,Indeed,software engineering,https://au.indeed.com//rc/clk?jk=ebe4320fdd38ee19&fccid=371f5c6e912b30d4,
