Page,Job_title,Company,Location,Search_eng,Term,URL,Words_of_concern
1,Full Stack .Net Developer - Permanent OR Contract,1iCT Pty Ltd,CBD & Inner Suburbs,SEEK,programmer,https://www.seek.com.au//job/35492378?type=standard&userqueryid=955cbf4ff5728a6628c6603cbb7b0648-9236002,right & perman
2,QUALITY OFFICER,ACE,CBD & Inner Suburbs,SEEK,data analyst,https://www.seek.com.au//job/35344077?type=standard&userqueryid=20ba340a05071ad6b7cd067a43c7c964-9356965,must & right & year
2,Principal Engineer - National Planning,AEMO,"Brisbane, Queensland",Neuvoo,software engineering,https://au.neuvoo.com/job.php?id=cj20swhecx&lang=en&k=software+engineering,*No found
3,Landscape Architect,AILA,Queensland,Neuvoo,developer,https://au.neuvoo.com/job.php?id=m2d7nqebbr&lang=en&k=developer,*No found
1,Full Stack Developer,ALS Industrial - Tribology,Northern Suburbs,SEEK,programmer,https://www.seek.com.au//job/35494434?type=standard&userqueryid=955cbf4ff5728a6628c6603cbb7b0648-9236002,*No found
2,Full Stack Developer,ALS Limited,"Brisbane, Queensland",Neuvoo,developer,https://au.neuvoo.com/job.php?id=49ihv30xty&lang=en&k=developer,*No found
3,Mining Engineer - Open PitPrincipal Mining Engineer - Open Pit,AMC Consultants Pty Ltd.,"Brisbane, Queensland",Neuvoo,software engineering,https://au.neuvoo.com/job.php?id=gywzaa6xtx&lang=en&k=software+engineering,*No found
2,Substation Testing and Commissioning Engineer,AMPS Testing Services,CBD & Inner Suburbs,SEEK,developer,https://www.seek.com.au//job/35469636?type=standard&userqueryid=e907361bbd2f1cd85fa93bb4a24fb26d-9264778,year
3,UX/UI Lead | Front End Web Developer,APNIC,CBD & Inner Suburbs,SEEK,part time developer,https://www.seek.com.au//job/35271770?type=standard&userqueryid=a15640fd2308c82dd13dfea98ffcc24b-9328253,lead & right
2,Microsoft Exchange Engineer / Admin,ASG Group Ltd,,SEEK,software engineering,https://www.seek.com.au//job/35462346?type=standard&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-9197201,lead & experienc
3,Assistant Analyst,ASIC,"Brisbane, Queensland",Neuvoo,data analyst,https://au.neuvoo.com/job.php?id=rssxc3kehk&lang=en&k=data+analyst,*No found
1,Survey Drafter/ Cadet/ Graduate (CAD),Acworth Recruitment,CBD & Inner Suburbs,SEEK,part time developer,https://www.seek.com.au//job/35481451?type=standout&userqueryid=a15640fd2308c82dd13dfea98ffcc24b-9326514,onli & year
4,Automation Developer,Adaps,Brisbane QLD,Indeed,python,https://au.indeed.com//rc/clk?jk=9c2b26c33f4d4904&fccid=ad7d1489eb2ecef6,onli & year
0,ARH Software Engineer,Airbus Group Australia Pacific Limited,,SEEK,software engineering,https://www.seek.com.au//job/35501495?type=standard&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-9194930,mentor & lead & must & year
3,Aircraft Structures Design Engineer,Airbus Groups,"Brisbane Airport, Queensland",Neuvoo,software engineering,https://au.neuvoo.com/job.php?id=dgbmxyp85v&lang=en&k=software+engineering,*No found
1,Data Scientists x 2,Ajilon,CBD & Inner Suburbs,SEEK,python,https://www.seek.com.au//job/35450958?type=standout&userqueryid=8a9e9534f4e8f5f6bd15933dd955d215-9292792,python & experienc
0,Python Developer,Ajilon,,SEEK,python,https://www.seek.com.au//job/35474619?type=standout&userqueryid=8a9e9534f4e8f5f6bd15933dd955d215-9292015,python & must & experienc
0,Business and Data Analyst,Ajilon,CBD & Inner Suburbs,SEEK,data analyst,https://www.seek.com.au//job/35495588?type=standout&userqueryid=20ba340a05071ad6b7cd067a43c7c964-9355439,lead & experienc & citizen
2,Online Course Developer / Designer (Fuel Installation),Allstaff Australia Pty Ltd,,SEEK,developer,https://www.seek.com.au//job/35493200?type=standard&userqueryid=e907361bbd2f1cd85fa93bb4a24fb26d-9264778,*No found
1,Integration/DevOps,Ambition,Brisbane Central Business District QLD,Indeed,python,https://au.indeed.com//rc/clk?jk=9bbe167a78fdb418&fccid=c9cd3dc1c74035d6,python & lead & must & experienc
0,Integration/DevOps,Ambition Technology,CBD & Inner Suburbs,SEEK,python,https://www.seek.com.au//job/35479875?type=standout&userqueryid=8a9e9534f4e8f5f6bd15933dd955d215-9292015,python & lead & must & experienc
3,SOFTWARE ENGINEER,Ansaldo,Eagle Farm QLD,Indeed,python,https://au.indeed.com//rc/clk?jk=ebe4320fdd38ee19&fccid=371f5c6e912b30d4&vjs=3,python & lead & experienc & year
2,SOFTWARE ENGINEER,Ansaldo STS,"Eagle Farm, Queensland",Neuvoo,python,https://au.neuvoo.com/job.php?id=3u7j2j4gwc&lang=en&k=python,*No found
0,Estimator/Programmer,Arrium,Queensland,Neuvoo,programmer,https://au.neuvoo.com/job.php?id=mh6pu0fj0p&lang=en&k=programmer,*No found
2,Inventory Analyst/Management Accountant,Arrium,Queensland,Neuvoo,data analyst,https://au.neuvoo.com/job.php?id=z6n0sguu4z&lang=en&k=data+analyst,*No found
2,Network Engineer,Arthur J. Gallagher & Co.,"Brisbane, Queensland",Neuvoo,data science,https://au.neuvoo.com/job.php?id=pp99qh7mia&lang=en&k=data+science,*No found
0,Front End Developer | Angular | Mid to Junior,Attract People,CBD & Inner Suburbs,SEEK,junior developer,https://www.seek.com.au//job/35333106?type=standard&userqueryid=943fa3d6a5fecad591038501d4ecacda-9341158,must & year
