Page,Job_title,Company,Location,Search_eng,Term,URL
0,Full Stack .Net Developer - Permanent OR Contract,1iCT Pty Ltd,CBD & Inner Suburbs,SEEK,programmer,https://www.seek.com.au//job/35492378?type=standard&userqueryid=955cbf4ff5728a6628c6603cbb7b0648-9995685
2,Principal Engineer - National Planning,AEMO,"Brisbane, Queensland",Neuvoo,software engineering,https://au.neuvoo.com/job.php?id=cj20swhecx&lang=en&k=software+engineering
3,Landscape Architect,AILA,Queensland,Neuvoo,developer,https://au.neuvoo.com/job.php?id=m2d7nqebbr&lang=en&k=developer
0,Full Stack Developer,ALS Industrial - Tribology,Northern Suburbs,SEEK,developer,https://www.seek.com.au//job/35494434?type=standard&userqueryid=e907361bbd2f1cd85fa93bb4a24fb26d-0023546
1,Substation Testing and Commissioning Engineer,AMPS Testing Services,CBD & Inner Suburbs,SEEK,developer,https://www.seek.com.au//job/35469636?type=standard&userqueryid=e907361bbd2f1cd85fa93bb4a24fb26d-0024416
2,UX/UI Lead | Front End Web Developer,APNIC,CBD & Inner Suburbs,SEEK,part time developer,https://www.seek.com.au//job/35271770?type=standard&userqueryid=a15640fd2308c82dd13dfea98ffcc24b-0094212
2,Microsoft Exchange Engineer / Admin,ASG Group Ltd,,SEEK,software engineering,https://www.seek.com.au//job/35462346?type=standard&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-9965858
0,Survey Drafter/ Cadet/ Graduate (CAD),Acworth Recruitment,CBD & Inner Suburbs,SEEK,part time developer,https://www.seek.com.au//job/35481451?type=standout&userqueryid=a15640fd2308c82dd13dfea98ffcc24b-0092398
4,Automation Developer,Adaps,Brisbane QLD,Indeed,python,https://au.indeed.com//rc/clk?jk=9c2b26c33f4d4904&fccid=ad7d1489eb2ecef6&vjs=3
3,Web Developer,Adcorp Australia Limited,CBD & Inner Suburbs,SEEK,part time developer,https://www.seek.com.au//job/35421630?type=standard&userqueryid=a15640fd2308c82dd13dfea98ffcc24b-0095052
0,Python Developer,Ajilon,,SEEK,python,https://www.seek.com.au//job/35474619?type=standout&userqueryid=8a9e9534f4e8f5f6bd15933dd955d215-0057679
1,Data Scientists x 2,Ajilon,CBD & Inner Suburbs,SEEK,python,https://www.seek.com.au//job/35450958?type=standout&userqueryid=8a9e9534f4e8f5f6bd15933dd955d215-0058598
1,Online Course Developer / Designer (Fuel Installation),Allstaff Australia Pty Ltd,,SEEK,developer,https://www.seek.com.au//job/35493200?type=standard&userqueryid=e907361bbd2f1cd85fa93bb4a24fb26d-0024416
0,Integration/DevOps,Ambition,Brisbane Central Business District QLD,Indeed,python,https://au.indeed.com//rc/clk?jk=9bbe167a78fdb418&fccid=c9cd3dc1c74035d6
0,Integration/DevOps,Ambition Technology,CBD & Inner Suburbs,SEEK,python,https://www.seek.com.au//job/35479875?type=standout&userqueryid=8a9e9534f4e8f5f6bd15933dd955d215-0057679
2,SOFTWARE ENGINEER,Ansaldo,Eagle Farm QLD,Indeed,software engineering,https://au.indeed.com//rc/clk?jk=ebe4320fdd38ee19&fccid=371f5c6e912b30d4&vjs=3
2,SOFTWARE ENGINEER,Ansaldo STS,"Eagle Farm, Queensland",Neuvoo,python,https://au.neuvoo.com/job.php?id=3u7j2j4gwc&lang=en&k=python
1,Estimator/Programmer,Arrium,Queensland,Neuvoo,programmer,https://au.neuvoo.com/job.php?id=mh6pu0fj0p&lang=en&k=programmer
2,Network Engineer,Arthur J. Gallagher & Co.,"Brisbane, Queensland",Neuvoo,data science,https://au.neuvoo.com/job.php?id=pp99qh7mia&lang=en&k=data+science
3,Software Engineer (React / node.js),AssetChain,CBD & Inner Suburbs,SEEK,software engineering,https://www.seek.com.au//job/35430930?type=standard&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-9966658
