Page,Job_title,Company,Location,Search_eng,Term,URL,Words_of_concern
4,Full Stack .Net Developer - Permanent OR Contract,1iCT Pty Ltd,CBD & Inner Suburbs,SEEK,programmer,https://www.seek.com.au//job/35492378?type=standard&userqueryid=955cbf4ff5728a6628c6603cbb7b0648-0255328,right & perman
1,Technical Team Lead x 2,4impact,CBD & Inner Suburbs,SEEK,java,https://www.seek.com.au//job/35503901?type=standard&userqueryid=480579d3b7133885d7ed142c4333305e-0443673,experienc & year
5,DATA WAREHOUSE DESIGNER,AA Appointments Brisbane,CBD & Inner Suburbs,SEEK,part time developer,https://www.seek.com.au//job/35409951?type=standard&userqueryid=a15640fd2308c82dd13dfea98ffcc24b-0378684,lead & experienc
1,Application Administrator,ABB,"Fortitude Valley, Queensland",Neuvoo,java,https://au.neuvoo.com/job.php?id=926if2jsih&lang=en&k=java,*No found
3,Developer,ABCis,CBD & Inner Suburbs,SEEK,developer,https://www.seek.com.au//job/35513368?type=standard&userqueryid=e907361bbd2f1cd85fa93bb4a24fb26d-0291759,right & experienc & year
2,QUALITY OFFICER,ACE,CBD & Inner Suburbs,SEEK,data analyst,https://www.seek.com.au//job/35344077?type=standard&userqueryid=20ba340a05071ad6b7cd067a43c7c964-0410702,must & right & year
3,Landscape Architect,AILA,Queensland,Neuvoo,developer,https://au.neuvoo.com/job.php?id=m2d7nqebbr&lang=en&k=developer,*No found
6,Full Stack Developer,ALS Industrial - Tribology,Northern Suburbs,SEEK,developer,https://www.seek.com.au//job/35494434?type=standard&userqueryid=e907361bbd2f1cd85fa93bb4a24fb26d-0293247,*No found
2,Full Stack Developer,ALS Limited,"Brisbane, Queensland",Neuvoo,developer,https://au.neuvoo.com/job.php?id=49ihv30xty&lang=en&k=developer,*No found
3,Mining Engineer - Open PitPrincipal Mining Engineer - Open Pit,AMC Consultants Pty Ltd.,"Brisbane, Queensland",Neuvoo,software engineering,https://au.neuvoo.com/job.php?id=gywzaa6xtx&lang=en&k=software+engineering,*No found
3,Procurement Administrator,APA Group,"Spring Hill, Queensland",Neuvoo,data analyst,https://au.neuvoo.com/job.php?id=xn2hzhz428&lang=en&k=data+analyst,*No found
3,Civil Pipeline Lead,APA Group,"Spring Hill, Queensland",Neuvoo,software engineering,https://au.neuvoo.com/job.php?id=j35zmex9wn&lang=en&k=software+engineering,*No found
4,UX/UI Lead | Front End Web Developer,APNIC,CBD & Inner Suburbs,SEEK,part time developer,https://www.seek.com.au//job/35271770?type=standard&userqueryid=a15640fd2308c82dd13dfea98ffcc24b-0378229,lead & right
3,Microsoft Exchange Engineer / Admin,ASG Group Ltd,,SEEK,software engineering,https://www.seek.com.au//job/35462346?type=standard&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-0211507,lead & experienc
2,Assistant Analyst,ASIC,"Brisbane, Queensland",Neuvoo,data analyst,https://au.neuvoo.com/job.php?id=rssxc3kehk&lang=en&k=data+analyst,*No found
2,Survey Drafter/ Cadet/ Graduate (CAD),Acworth Recruitment,CBD & Inner Suburbs,SEEK,part time developer,https://www.seek.com.au//job/35481451?type=standout&userqueryid=a15640fd2308c82dd13dfea98ffcc24b-0377216,onli & year
5,Automation Developer,Adaps,Brisbane QLD,Indeed,python,https://au.indeed.com//rc/clk?jk=9c2b26c33f4d4904&fccid=ad7d1489eb2ecef6&vjs=3,python & onli
3,Project Engineer,Adelaide Brighton Ltd,"Brisbane, Queensland",Neuvoo,software engineering,https://au.neuvoo.com/job.php?id=xn4ctg66uz&lang=en&k=software+engineering,*No found
0,ARH Software Engineer,Airbus Group Australia Pacific,Brisbane Airport QLD,Indeed,software engineering,https://au.indeed.com//rc/clk?jk=495ed81862643920&fccid=bc2d8021313233ce,mentor & lead & must & year
0,ARH Software Engineer,Airbus Group Australia Pacific Limited,,SEEK,software engineering,https://www.seek.com.au//job/35501495?type=standard&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-0210042,mentor & lead & must & year
0,ARH Software Engineer,Airbus Groups,"Brisbane Airport, Queensland",Neuvoo,software engineering,https://au.neuvoo.com/job.php?id=d6kvdjuwns&lang=en&k=software+engineering,*No found
0,Business and Data Analyst,Ajilon,CBD & Inner Suburbs,SEEK,data analyst,https://www.seek.com.au//job/35495588?type=standout&userqueryid=20ba340a05071ad6b7cd067a43c7c964-0409787,lead & experienc & citizen
6,Python Developer,Ajilon,,SEEK,programmer,https://www.seek.com.au//job/35474619?type=standout&userqueryid=955cbf4ff5728a6628c6603cbb7b0648-0256305,python & must & experienc
1,Data Scientists x 2,Ajilon,CBD & Inner Suburbs,SEEK,python,https://www.seek.com.au//job/35450958?type=standout&userqueryid=8a9e9534f4e8f5f6bd15933dd955d215-0333537,python & experienc
2,Operations Engineer,Alitis,,SEEK,java,https://www.seek.com.au//job/35470790?type=standout&userqueryid=480579d3b7133885d7ed142c4333305e-0444115,must
4,Java API Developer,Alitis,,SEEK,java,https://www.seek.com.au//job/35445519?type=standout&userqueryid=480579d3b7133885d7ed142c4333305e-0445259,*No found
2,Trade Qualified Boilermaker,All Trades Queensland,"Brisbane, Queensland",Neuvoo,developer,https://au.neuvoo.com/job.php?id=w2032ceptr&lang=en&k=developer,*No found
5,SEO Digital Specialist,Allianz Worldwide Partners,CBD & Inner Suburbs,SEEK,part time developer,https://www.seek.com.au//job/35413961?type=standout&userqueryid=a15640fd2308c82dd13dfea98ffcc24b-0378684,lead & year & pr
2,Integration/DevOps,Ambition,"Brisbane, Queensland",Neuvoo,python,https://au.neuvoo.com/job.php?id=2er4ekywbx&lang=en&k=python,*No found
0,Integration/DevOps,Ambition Technology,CBD & Inner Suburbs,SEEK,python,https://www.seek.com.au//job/35479875?type=standout&userqueryid=8a9e9534f4e8f5f6bd15933dd955d215-0333097,python & lead & must & experienc
3,SOFTWARE ENGINEER,Ansaldo,Eagle Farm QLD,Indeed,junior developer,https://au.indeed.com//rc/clk?jk=ebe4320fdd38ee19&fccid=371f5c6e912b30d4,python & lead & onli & must & right & ethic & experienc & year
3,SOFTWARE ENGINEER,Ansaldo STS,"Eagle Farm, Queensland",Neuvoo,java,https://au.neuvoo.com/job.php?id=3u7j2j4gwc&lang=en&k=java,*No found
2,Inventory Analyst/Management Accountant,Arrium,Queensland,Neuvoo,data analyst,https://au.neuvoo.com/job.php?id=z6n0sguu4z&lang=en&k=data+analyst,*No found
4,Software Engineer (React / node.js),AssetChain,CBD & Inner Suburbs,SEEK,java,https://www.seek.com.au//job/35430930?type=standard&userqueryid=480579d3b7133885d7ed142c4333305e-0445259,lead
4,Lead Mobile Developer,Attract People,CBD & Inner Suburbs,SEEK,java,https://www.seek.com.au//job/35414431?type=standard&userqueryid=480579d3b7133885d7ed142c4333305e-0445259,*No found
